rating,title,text,images,asin,parent_asin,user_id,review_date,helpful_vote,verified_purchase
5.0,Nice,"If i had a dollar for how many times I have played this cd and how many times I have asked Alexa to play it, I would be rich. Love this singer along with the Black Pumas. Finding a lot of new music that I like a lot on amazon. Try new things.",[],B004RQ2IRG,B004RQ2IRG,AFUOYIZBU3MTBOLYKOJE5Z35MBDA,2021-04-21 02:36:53,0,True
5.0,Excellent,awesome sound - cant wait to see them in person - always miss them when they are in town !,[],B0026UZEI0,B0026UZEI0,AHGAOIZVODNHYMNCBV4DECZH42UQ,2011-06-15 19:52:05,0,True
5.0,Great service,This is a great cd. Good music and plays well. Seller responded back very quicky and  received it within 3 days,[],B0055JSYHC,B0055JSYHC,AFGEM6BXCYHUILEOA3P2ZYBEF2TA,2021-03-15 20:06:33,0,True
1.0,No good,"These are not real German singers, they have accents. It is nothing what they advertised it. Music stinks.",[],B000F9SMUQ,B000F9SMUQ,AH3OG6QD6EDJGZRVCFKV4B66VWNQ,2014-07-13 02:49:01,0,True
3.0,"Cool concept, so-so execution...","I first heard this playing in a Nagoya shop and fell in love with the remix of Ke$ha's ""Tik Tok"" (Ke$ha and Lady Gaga are EVERYWHERE in Japan), which then morphed into several other recent pop hits. When the salesgirl handed me the CD, I was pleased to see that it actually included thirty pop songs by the likes of Lady Gaga, Usher, La Roux, Katy Perry, Black-Eyed Peas, Ke$ha, etc. I researched more after I got home, and discovered that this Japanese label (Manhattan Records) exists solely to put out rerecorded and remixed dance CDs based on recent pop hits, the key word being rerecorded. I guessed as much as I was listening to the CD in-store; several of the soundalikes do a great job, others are just so-so. It's great for workouts, though, since the tracks fade one into another with no downtime (the bad side is that if you've got in in shuffle, the beginning of the next song, which is often in a different key, is kind of an awkward fade-out when not played in sequence).",[],B0049D1WVK,B0049D1WVK,AFW2PDT3AMT4X3PYQG7FJZH5FXFA,2011-06-25 19:19:55,0,False
4.0,"""L'attaque des clones"" a satisfying taste of things to come.","I just saw ""Star Wars: L'attaque des clones"" last night (in Ste-Foy, Québec) at a sold-out show (it was playing in English at the theatre next door but I opted for the French version instead). First of all, the theatre itself was an experience: an immense screen that looked as large as an IMAX screen, intense surround THX sound, and the digital picture (even at that size) was amazingly crisp, the colours vibrant, and the sound effects were ear-splitting and exhilarating (especially the moments of silence that preceded the sonic depth charge explosions!)<br />I have seen the other four Star Wars movies but avoided reading publicity and reviews for ""Attack of the Clones"" in order to enjoy every moment without worrying over a particular critic's faults with the film. This film is much darker than ""The Phantom Menace"" could have ever aspired to be. Lucas has moved from stilted, juvenile scriptwriting on ""TPM"" to (still) stilted, mythological, more adult scriptwriting on ""Attack of the Clones."" Here we see Anakin as a headstrong, angry, frequently obnoxious young adult who loves backtalking, disobeying orders, and getting his way--a most dangerous thing when you are destined to become the most powerful Jedi of all time.<br />The dialogue is very politically minded (I had to wonder at the ""separatist"" politics of the film, being in Québec) and the romance scenes feel wooden and awkward, but Natalie Portman and Hayden Christensen definitely have onscreen chemistry. (I have since read that Hayden purposely would flash a thumbs-up at the end of his takes so Lucas would have to reshoot the kissing scenes...I did get a laugh out of that.)<br />Jar Jar Binks has (thankfully) been reduced to a few mere minutes of screentime, in which he manages to be (awkwardly) regal and somewhat less annoying that in Episode I. My favourite part of the ""Star Wars"" universe has always been the astonishing variety of aliens and alien languages...when I was a kid I wanted to be the one that came up with all the cool sounding languages spoken in the film (I still do as a matter of fact).<br />As usual, Natalie Portman's costumes are to die for, incorporating Asian and European fashion influences while still managing to be gracefully fresh and exotic. Only one I could have done without was the black leather getup ---elbow-high leather gloves and a black leather bustier, yet she's telling Anakin she's not interested in a romantic relationship...riiiight (Curiously enough, Anakin wears black leather as well...and if you listen carefully you can hear a whole lot of leather creaking onscreen). Portman certainly runs around baring her abs-of-steel midriff for much of the film (along with being very braless in a very tight white jumpsuit, which I found tasteless and unnecessary...I mean, the costumers spent the last film and part of this one coming up with these gorgeous gowns and now they're raiding Lara Croft's closet?)<br />The CGI imagery was breathtaking, especially the chase through Coruscant, the clone army and all of the alien landscapes. John Williams' score incorporates themes from all of the previous ""Star Wars"" soundtracks, including the addition of a new love theme, ""Across the Stars."" The fight scenes were white-knuckle intense and had me on the edge of my seat. The battle scene with all of the Jedis of all different species was *awesome,* as was Mace Windu's (Samuel L. Jackson) purple lightsaber...a first in ""Star Wars"" history. And Yoda: we finally see him in action and understand why he is the greatest living Jedi. Another first: Yoda is completely computer-animated, and is extremely lifelike.<br />The French translation of the film was almost an exact translation from the English...I actually found that some of the dialogue flowed more smoothly in French. Understanding some of the alien accents (especially the metallic robot ones) was a bit of a challenge for me, but it adds to the fun.<br />Lucas has effectively planted the seeds for the next and final chapter in the ""Star Wars"" saga, redeeming himself from the sometimes mediocre acting, wooden dialogue and annoying creatures from ""The Phantom Menace"".<br />Episode II is full of treachery, death, assassination attempts, massacres, and battles between good and evil where right and wrong are sometimes obscured. Unlike Jake Lloyd, the child actor who played Anakin in ""The Phantom Menace,"" in Hayden we see Anakin torn between his inner feelings and his obligations as a Jedi...his romance with Padmé, the (implied) massacre of the Tusken camp, and his defiance, all pointing to his shift to the Dark Side of the Force.<br />The film is rated PG, but it does contain some very intense moments: onscreen kissing and sexual tension of sorts, a decapitation, mutilation, creepy space caterpillars, a gladiator-style execution arena, a massacre and other intense battle scenes and that might be disturbing to younger children. But overall it is a very worthy addition to the ""Star Wars"" universe. Can't wait until Episode III!",[],B00003CXKT,B00003CXKT,AFW2PDT3AMT4X3PYQG7FJZH5FXFA,2002-05-23 21:58:42,1,False
5.0,Ronnie Dunn like I've never heard before!,"This is without a doubt my favorite CD, and I may be close to wearing it out before the end of the month  LOL  Personally, I never looked at the song list, just popped it in the player and let 'er rip.  I sat back and was just amazed at the choices Ronnie made to put on this CD.  Highly recommend it to any fan of his.  And if you're not, try it, you will be !!!!!",[],B083QN4Y6H,B083QN4Y6H,AGYEAZK4OEYF2MSSTGJ5WNJDVZKA,2020-06-20 01:19:59,0,True
5.0,A true classic seventies rock album,Sounds great,[],B08L7CJ6NM,B08L7CJ6NM,AHB5CGLYN3Y6NIPHNQLYFJT2W2PQ,2022-01-04 21:09:52,0,True
5.0,A great collection of music,This disk is fantastic I wanted the record but recieved a couple bad ones so I purchased this i was not disappointed,[],B092C24W4G,B092C24W4G,AHB5CGLYN3Y6NIPHNQLYFJT2W2PQ,2022-01-03 15:48:08,2,True
5.0,Excellent musical experience,"This is a fantastic collection of music superb musicians all Mark Soklin keyboards, Paul Soclow bass, Romero Lubambo guitar, Duduka Fonesca drums, Claudio Roditi trumpet, on Sonhos a previous reviewer  said  musicians were not listed on the CD these people inspire me to play they are all amazing  I am a guitarist and listen to lots of music but this record is spectacular",[],B01M32UHXG,B01M32UHXG,AHB5CGLYN3Y6NIPHNQLYFJT2W2PQ,2019-08-23 15:56:46,0,False
5.0,confusing two separate CDs,There are two separate CDs one is called sand in the vasaline one is called popular favorites that is disc two although disc two actually lists all the tracks from sand in the vasaline it is a separate disc,[],B002Q2KG1I,B002Q2KG1I,AHB5CGLYN3Y6NIPHNQLYFJT2W2PQ,2017-04-28 22:08:00,0,False
5.0,Great co to buy from and i am picky,It exceeds my expectations I wish all retailers where as great as  mayan,[],B003NXEPY8,B003NXEPY8,AHB5CGLYN3Y6NIPHNQLYFJT2W2PQ,2016-04-22 01:00:05,0,True
5.0,Astounding!,"astoundingly beautiful, haunting, moving Chorale !!",[],B0012N3PMY,B0012N3PMY,AFUB7CHTXRPD447QVQCHBZVN2IPQ,2019-07-15 19:26:15,0,True
5.0,Five Stars,Fabulous Cd well worth purchasing...,[],B006X08FR6,B006X08FR6,AFGWR7GZLOWSTFN2QJBE5NMGVEGQ,2015-11-06 13:38:09,0,True
5.0,"AM Gold the late ""60's",Very Good CD All the original songs not redone love this CD!  Well Reccomended!!! A lot of these songs I grew up with!,[],B000K4Y80O,B000K4Y80O,AFGWR7GZLOWSTFN2QJBE5NMGVEGQ,2014-01-09 11:41:37,1,True
5.0,when a man loves a woman,Great cd and what's nice its all of the original artists. I f you  lived during this era you will love this!,[],B0009P1NXO,B0009P1NXO,AFGWR7GZLOWSTFN2QJBE5NMGVEGQ,2013-08-26 10:44:37,1,True
