main_category,title,average_rating,rating_number,features,description,price,images,videos,store,categories,details,parent_asin,bought_together
Digital Music,Baja Marimba Band,4.9,8,[],[],,"[{'thumb': 'https://m.media-amazon.com/images/I/51kIbeVPzXL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51kIbeVPzXL.jpg', 'variant': 'MAIN', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/51rWg3aYN4L._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51rWg3aYN4L.jpg', 'variant': 'PT01', 'hi_res': None}]",[],None,[],"{'Date First Available': 'February 28, 2010'}",B000V87RP2,
Digital Music,'80s Halloween-All Original Artists & Recordings,5.0,3,[],[],14.98,"[{'thumb': 'https://m.media-amazon.com/images/I/01RmK+J4pJL._SS40_.gif', 'large': 'https://m.media-amazon.com/images/I/01RmK+J4pJL.gif', 'variant': 'MAIN', 'hi_res': None}]",[],"Love and Rockets  (Artist),     Duran Duran  (Artist),     Ministry  (Artist),     Echo And The Bunnyman  (Artist),     Oingo Boingo  (Artist),     Alice Cooper  (Artist),     The Sisters Of Mercy  (Artist),     Joy Division  (Artist),     Bauhaus  (Artist),     The Jesus And The Mary  (Artist)    &                   6                  more   Format: Audio CD",[],"{'Package Dimensions': '5.55 x 4.97 x 0.54 inches; 2.83 Ounces', 'Manufacturer': 'Somerset', 'Date First Available': 'November 2, 2011', 'Label': 'Somerset', 'Number of discs': '1'}",B0062F0MJQ,
Digital Music,TRIO +1,5.0,1,[],['CD ALBUM'],57.99,"[{'thumb': 'https://m.media-amazon.com/images/I/31948GD8JFL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31948GD8JFL.jpg', 'variant': 'MAIN', 'hi_res': None}]",[],Rob Wasserman   Format: Audio CD,[],"{'Is Discontinued By Manufacturer': 'No', 'Package Dimensions': '5.55 x 4.97 x 0.54 inches; 2.83 Ounces', 'Manufacturer': 'UNIVERSAL VICTOR', 'Date First Available': 'December 28, 2012', 'Label': 'UNIVERSAL VICTOR', 'Number of discs': '1'}",B00005GT12,
Digital Music,"Gold and Silver: Lehar, Delibes, Lanner, Johann Strauss II",5.0,1,[],[],29.91,"[{'thumb': 'https://m.media-amazon.com/images/I/61EYZvzr+4L._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/61EYZvzr+4L.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/81Go3QJNIuL._SL1362_.jpg'}]",[],"Franz Lehar  (Composer),     Leo Delibes  (Composer),     Joseph Lanner  (Composer),     Johann Strauss II  (Composer),     Janos Sandor  (Conductor),     Janos Ferencsik  (Composer),     Budapest Philharmonic Orchestra  (Orchestra),     Hungarian State Orchestra  (Orchestra)    &                   4                  more   Format: Audio CD",[],"{'Manufacturer': 'Hungaroton / White Label', 'Date First Available': 'February 4, 2005', 'Label': 'Hungaroton / White Label'}",B0007PD2BW,
Digital Music,"Grateful Dead Dave's Picks Volume 25 Live at Broome County Veteran Memorial Arena Binghamton, NY November 6, 1977",4.9,20,[],['Sold out. Numbered limited edition'],149.99,"[{'thumb': 'https://m.media-amazon.com/images/I/61916+eP4iL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/61916+eP4iL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/91NZl49eUZL._SL1429_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51VfKSSSL3L._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51VfKSSSL3L.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/81xCulmZYGL._SL1366_.jpg'}]",[],"Grateful Dead  (Artist, Orchestra)    Format: Audio CD",[],"{'Package Dimensions': '5.55 x 4.97 x 0.54 inches; 2.82 Ounces', 'Manufacturer': 'Dead', 'Date First Available': 'January 27, 2018', 'Label': 'Dead'}",B079CPD45R,
Digital Music,Guitar Escape - Music For Relaxation,4.1,18,[],"['2-disc CD set. Disc 1 ""Escape"" by Steve Middleton - - 11 tracks. Disc 2 ""Acoustica"" by Chris Spheeris & Paul Voudouris - - 9 tracks. 2010 Somerset.']",,"[{'thumb': 'https://m.media-amazon.com/images/I/21biKkC+32L._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/21biKkC+32L.jpg', 'variant': 'MAIN', 'hi_res': None}]",[],"Guitar Escape  (Artist),     Steve Middleton  (Artist),     Chris Spheeris  (Artist),     Paul Voudouris  (Artist)    &                   1                  more   Format: Audio CD",[],"{'Package Dimensions': '5.55 x 4.97 x 0.54 inches; 2.88 Ounces', 'Manufacturer': 'Somerset', 'Date First Available': 'October 19, 2014', 'Label': 'Somerset', 'Number of discs': '2'}",B00NFJBVIS,
Digital Music,CLASICOS DE ORO,5.0,1,[],[],20.98,"[{'thumb': 'https://m.media-amazon.com/images/I/31YSAA3wsUL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31YSAA3wsUL.jpg', 'variant': 'MAIN', 'hi_res': None}]",[],Los Cardenales del Exito  (Artist)    Format: Audio CD,[],"{'Date First Available': 'February 27, 2010'}",B001PH5SX6,
Digital Music,Indigo for Quantum Focus (Metamusic),5.0,1,[],"['Metamusic is more than music.It incorporates evocative sounds and frequencies to guide you into focused,whole brain states of consciousness.It helps you achieve and sustain synchronized brain wave activity in both hemispheres of your brain for improving human performances.']",28.99,"[{'thumb': 'https://m.media-amazon.com/images/I/61yQlQ59fEL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/61yQlQ59fEL.jpg', 'variant': 'MAIN', 'hi_res': None}]",[],Hemi Sync   Format: Audio CD,[],"{'Package Dimensions': '5.6 x 4.8 x 0.1 inches; 3.2 Ounces', 'Date First Available': 'March 20, 2008'}",1561023280,
Digital Music,Fastway,4.7,754,[],[],,"[{'thumb': 'https://m.media-amazon.com/images/I/51Z+tjiMfBL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51Z+tjiMfBL.jpg', 'variant': 'MAIN', 'hi_res': None}]",[],Fastway,[],"{'Date First Available': 'April 13, 2020'}",B0872KL2TZ,
Digital Music,The Minimalism of Erik Satie,4.8,8,[],"['The Minimalim of Erik Satie by The Vienna Art Orchestra under Mathias Rüegg, recorded on 20, 21 and 22 September 1983 and 14 March 1984 at Studio Kornhäusl, Vienna. Hat ART Now Series CD 6024 (1989)']",9.86,"[{'thumb': 'https://m.media-amazon.com/images/I/41l4h8TeABL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41l4h8TeABL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/615NPFDWHeL._SL1024_.jpg'}]",[],Vienna Art Orchestra   Format: Audio CD,[],"{'Is Discontinued By Manufacturer': 'No', 'Item Weight': '3.21 Ounces', 'Manufacturer': 'hat ART Now Series', 'Run time': '1 hour and 15 minutes', 'Date First Available': 'October 18, 2015', 'Label': 'hat ART Now Series', 'Number of discs': '1'}",B000025YVO,
Digital Music,Apink - [UNE ANNEE] 1st Album CD+Photo Book+1p Photo Card K-POP Sealed a pink,4.4,33,[],['A PINK-[UNE ANNEE] 1st Album package includes CD+Photo Book+1p Photo Card. Officially distributed Brand New & Factory Sealed CD. Your purchase quantity will be count on Korea HANTEO & GAON Chart! Track List DISK(CD) 1. 01. Une Annee 02. Hush 03. °í¾çÀÌ 04. 4¿ù 19ÀÏ 05. Bubibu 06. Step 07. Boy 08. I Got You 09. ÇϴÃ ³ôÀÌ [Feat. Joker]'],,"[{'thumb': 'https://m.media-amazon.com/images/I/51YLaRHqaOL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51YLaRHqaOL.jpg', 'variant': 'MAIN', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/51TFqsAq5NL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51TFqsAq5NL.jpg', 'variant': 'PT01', 'hi_res': None}]",[],Apink   Format: Audio CD,[],"{'Package Dimensions': '9.09 x 7.17 x 1.02 inches; 9.35 Ounces', 'Manufacturer': 'LOEN Entertainment', 'Date First Available': 'September 25, 2016', 'Label': 'LOEN Entertainment'}",B01M0KJW81,
Digital Music,Awaken Your Heart From Its Ancient Sleep (Music CD),4.8,574,[],[],,"[{'thumb': 'https://m.media-amazon.com/images/I/51sPlcA9mQL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51sPlcA9mQL.jpg', 'variant': 'MAIN', 'hi_res': None}]",[],Madonna   Format: Audio CD,[],"{'Package Dimensions': '5.55 x 4.97 x 0.54 inches; 2.83 Ounces', 'Date First Available': 'September 22, 2016', 'Number of discs': '1'}",B008A0PUSY,
Digital Music,Double Praise 6 (Praise 6 & Praise Strings 6),4.9,4,[],[],99.99,"[{'thumb': 'https://m.media-amazon.com/images/I/51YqdOA01eL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51YqdOA01eL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/81rVJ7efKhL._SL1432_.jpg'}]",[],Maranatha! Singers  (Artist)    Format: Audio CD,[],"{'Package Dimensions': '4.9 x 3.7 x 0.4 inches; 4 Ounces', 'Manufacturer': 'Maranatha', 'Date First Available': 'July 9, 2007', 'Label': 'Maranatha'}",B00095O09I,
Digital Music,"Shakin' Things Up by Morgan, Lorrie 1997 Audio",4.8,45,[],[],24.86,"[{'thumb': 'https://m.media-amazon.com/images/I/61nUbp+YC+L._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/61nUbp+YC+L.jpg', 'variant': 'MAIN', 'hi_res': None}]",[],Lorrie Morgan   Format: Audio CD,[],"{'Package Dimensions': '5.59 x 4.84 x 0.39 inches; 3.84 Ounces', 'Manufacturer': 'Bna Entertainment', 'Date First Available': 'April 22, 2014', 'Label': 'Bna Entertainment'}",B00FZ10RYS,
Digital Music,Twice 3GIFT Eyes Wide Open Random ver. Folded Poster Random MAFF Premium Face Mask+Extra Photocard,4.7,14,[],"['[ Release Date: Oct 27, 2020 ]', '[ Free Gift ]', '1) 1 Premium MAFF face mask\xa02) 1 Extra Photocard', '[ Composition ]', '- Random version of CD Album- PHOTOBOOK\xa0: 88p- CD-R\xa0: Random 1p out of 10p- MESSAGE CARD\xa0: Random 1p out of 9p- LYRICS FOLDED POSTER\xa0: Random 1p out of 10p- DIY STICKER\xa0: 1p- PHOTOCARD\xa0: Random 5p out of 100p', '[ No More Pre-Order Benefit\xa0]', '-\xa0FOLDED POSTER Only', '[ Made in Korea (100% Authentic) ]', '[ Will be Count Towards Hanteo and Gaon Chart ]']",33.9,"[{'thumb': 'https://m.media-amazon.com/images/I/415PlAaxmYL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/415PlAaxmYL.jpg', 'variant': 'MAIN', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/41HSvihSbTL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41HSvihSbTL.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/61OEZLcFSgL._SL1280_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51YQqIQeVmL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51YQqIQeVmL.jpg', 'variant': 'PT02', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/41EgQmEeIjL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41EgQmEeIjL.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/61xF+w8w-3L._SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41LGfoNQJKL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41LGfoNQJKL.jpg', 'variant': 'PT04', 'hi_res': 'https://m.media-amazon.com/images/I/71GAU963VqL._SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/414AX5zoLNL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/414AX5zoLNL.jpg', 'variant': 'PT05', 'hi_res': 'https://m.media-amazon.com/images/I/71a9X-wvSeL._SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/31Xb2ocObiL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31Xb2ocObiL.jpg', 'variant': 'PT06', 'hi_res': 'https://m.media-amazon.com/images/I/61J5eczM0VL._SL1500_.jpg'}]",[],Twice   Format: Audio CD,[],"{'Package Dimensions': '9.02 x 7.05 x 1.34 inches; 1.41 Pounds', 'Manufacturer': 'eyes wide open', 'Date First Available': 'February 15, 2017', 'Label': 'eyes wide open'}",B08NN2MHBY,
Digital Music,Uncorked,5.0,2,[],"[""1 Fisher's Hornpipe/Julia Delaney 2 Temperance Reel/Lowdown Hoedown 3 Atholl Highlanders 4 The Gale 5 Maria's Waltz 6 All the Rage/The Popcorn 7 Haapavesi 8 Connaughtman's Rambles/Over the Causeway 9 El Hambo Emborrachado 10 Lafferty's/Lady Anne Montgomery 11 Reel de Père Léon 12 Coal Miner/High Reel""]",,"[{'thumb': 'https://m.media-amazon.com/images/I/31ZHQZWnD7L._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31ZHQZWnD7L.jpg', 'variant': 'MAIN', 'hi_res': None}]",[],House Red   Format: Audio CD,[],"{'Date First Available': 'May 8, 2007'}",B000QCX8RO,
Digital Music,Re-Program,5.0,1,[],[],,"[{'thumb': 'https://m.media-amazon.com/images/I/51X4b5HpAiL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51X4b5HpAiL.jpg', 'variant': 'MAIN', 'hi_res': None}]",[],Format: Audio CD,[],"{'Date First Available': 'February 5, 2007'}",B000N86CY2,
Digital Music,"Bullet 45 RPM White Lies, Blue Eyes / Changes Of Minds",5.0,3,[],[],,"[{'thumb': 'https://m.media-amazon.com/images/I/519-n9OrHJL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/519-n9OrHJL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/713lelDwTbL._SL1000_.jpg'}]",[],None,[],"{'Date First Available': 'December 18, 2015'}",B018T7O9PC,
Digital Music,Baby Faced Killer,4.0,30,[],[],,"[{'thumb': 'https://m.media-amazon.com/images/I/51CigJusx5L._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51CigJusx5L.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71d0D-U8BGL._SL1076_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51uxgM18dWL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51uxgM18dWL.jpg', 'variant': 'BACK', 'hi_res': 'https://m.media-amazon.com/images/I/71zM4w4zJeL._SL1222_.jpg'}]",[],David Byron   Format: Audio CD,[],"{'Is Discontinued By Manufacturer': 'No', 'Package Dimensions': '5.59 x 4.88 x 0.39 inches; 0.35 Ounces', 'Date First Available': 'May 19, 2013', 'Number of discs': '1'}",B000025HFT,
Digital Music,The Other Side,5.0,5,[],[],49.94,"[{'thumb': 'https://m.media-amazon.com/images/I/51AHX49qA+L._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51AHX49qA+L.jpg', 'variant': 'MAIN', 'hi_res': None}]",[],Fents   Format: Audio CD,[],"{'Is Discontinued By Manufacturer': 'No', 'Product Dimensions': '5.55 x 4.97 x 0.54 inches; 2.88 Ounces', 'Date First Available': 'December 23, 2004'}",B0007807OO,
Digital Music,Grimes: Art Angels Vinyl LP,4.8,1200,[],['2015 album from Grimes on vinyl. Comes with double sided art inserts and digital download. 2015 4AD.'],,"[{'thumb': 'https://m.media-amazon.com/images/I/513XxFczpML._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/513XxFczpML.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/8186bDGYe5L._SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/5192GBQrWwL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/5192GBQrWwL.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/81qJvIsiD1L._SL1500_.jpg'}]",[],Grimes   Format: Unknown Binding,[],"{'Package Dimensions': '12.4 x 12.2 x 0.4 inches; 1.05 Pounds', 'Manufacturer': '4AD', 'Date First Available': 'December 10, 2015', 'Label': '4AD'}",B01974S2ZE,
Digital Music,Songs of New Orleans (Parts I & 2),5.0,2,[],['2 CD SET'],3.6,"[{'thumb': 'https://m.media-amazon.com/images/I/513Ve2Se1aL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/513Ve2Se1aL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/A1YzHKF1sjL._SL1500_.jpg'}]",[],Preservation Hall Jazz Band  (Author)    Format: Audio CD,[],"{'Package Dimensions': '5.55 x 4.97 x 0.54 inches; 2.88 Ounces', 'Date First Available': 'February 26, 2008', 'Number of discs': '1'}",B0014WMIUI,
Digital Music,"Robert Preston: First Stereo Recordings of Rubinstein, Kabalevsky Piano Concertos",3.0,1,[],"['Robert Preston: First Stereo Recordings of Rubinstein, Kabalevsky Piano Concertos. Orion Stereo ORS-74149']",28.8,"[{'thumb': 'https://m.media-amazon.com/images/I/51sI010FUJL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51sI010FUJL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/A1Zx8m-CgQL._SL1500_.jpg'}]",[],"Anton Rubinstein  (Composer),     Dmitri Kabalevsky  (Composer),     Robert Preston, Pianist  (Performer)    &                   0                  more",[],"{'Package Dimensions': '12.5 x 12.5 x 0.2 inches; 0.01 Ounces', 'Manufacturer': 'Orion Stereo ORS-74149', 'Run time': '45 minutes', 'Date First Available': 'August 31, 2008', 'Label': 'Orion Stereo ORS-74149', 'Number of discs': '1'}",B001F3G4EW,
Digital Music,Praise & Worship Jimmy Swaggart,4.7,4,[],[],19.97,"[{'thumb': 'https://m.media-amazon.com/images/I/517W0thTXgL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/517W0thTXgL.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/91EfR-YvwiL._SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51gJAfhWdBL._SS40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51gJAfhWdBL.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/81mIcL4kX1L._SL1500_.jpg'}]",[],Format: Audio CD,[],"{'Package Dimensions': '1 x 1 x 1 inches', 'Date First Available': 'November 2, 2012'}",B00304PRWO,
