parent_asin,title,main_category,average_rating,rating_number
B000V87RP2,Baja Marimba Band,Digital Music,4.9,8
B0062F0MJQ,'80s Halloween-All Original Artists & Recordings,Digital Music,5.0,3
B00005GT12,TRIO +1,Digital Music,5.0,1
B0007PD2BW,"Gold and Silver: Lehar, Delibes, Lanner, Johann Strauss II",Digital Music,5.0,1
B079CPD45R,"Grateful Dead Dave's Picks Volume 25 Live at Broome County Veteran Memorial Arena Binghamton, NY November 6, 1977",Digital Music,4.9,20
B00NFJBVIS,Guitar Escape - Music For Relaxation,Digital Music,4.1,18
B001PH5SX6,CLASICOS DE ORO,Digital Music,5.0,1
1561023280,Indigo for Quantum Focus (Metamusic),Digital Music,5.0,1
B0872KL2TZ,Fastway,Digital Music,4.7,754
B000025YVO,The Minimalism of Erik Satie,Digital Music,4.8,8
B01M0KJW81,Apink - [UNE ANNEE] 1st Album CD+Photo Book+1p Photo Card K-POP Sealed a pink,Digital Music,4.4,33
B008A0PUSY,Awaken Your Heart From Its Ancient Sleep (Music CD),Digital Music,4.8,574
B00095O09I,Double Praise 6 (Praise 6 & Praise Strings 6),Digital Music,4.9,4
B00FZ10RYS,"Shakin' Things Up by Morgan, Lorrie 1997 Audio",Digital Music,4.8,45
B08NN2MHBY,Twice 3GIFT Eyes Wide Open Random ver. Folded Poster Random MAFF Premium Face Mask+Extra Photocard,Digital Music,4.7,14
B000QCX8RO,Uncorked,Digital Music,5.0,2
B000N86CY2,Re-Program,Digital Music,5.0,1
B018T7O9PC,"Bullet 45 RPM White Lies, Blue Eyes / Changes Of Minds",Digital Music,5.0,3
B000025HFT,Baby Faced Killer,Digital Music,4.0,30
B0007807OO,The Other Side,Digital Music,5.0,5
B01974S2ZE,Grimes: Art Angels Vinyl LP,Digital Music,4.8,1200
B0014WMIUI,Songs of New Orleans (Parts I & 2),Digital Music,5.0,2
B001F3G4EW,"Robert Preston: First Stereo Recordings of Rubinstein, Kabalevsky Piano Concertos",Digital Music,3.0,1
B00304PRWO,Praise & Worship Jimmy Swaggart,Digital Music,4.7,4
B00N368G5E,According to Purpose,Digital Music,5.0,1
